"","-1/4-wave","+1/4-wave","cylinder","dihedral","dipole","left helix","narrow dihedral","random volume","right helix","trihedral","class"
"3450","0.425619724652073","0.710847529645678","0.591913625796933","0.561524749076511","0.588112079931656","0.688968857121585","0.561034732478477","0.430781383853713","0.82948477412178","0.599925121073854","rich"
"3252","0.653041968374286","0.81753928252136","0.937397054949797","0.727177647642707","0.308944016150049","0.757703970160207","0.922033199445633","0.640101160375661","0.89152984284899","0.748010762521744","rich"
"2361","0.699719371725287","0.633254776336438","0.483489653435246","0.899183159783682","0.606646416872651","1.03493247736053","0.885927507582195","0.412868571764873","0.789830996640679","0.363435452712419","rich"
"2071","0.882018312127395","0.61871790962031","0.687043692210591","0.970784865894653","0.551088449805941","0.937978147750888","1.03374559719359","0.572091697138237","0.984918175949914","0.504456871373213","rich"
"2849","0.64555549349408","0.626937179443821","0.412307983682622","0.915820260896304","0.542815005171477","0.889213970759946","0.908474839644442","0.272094047491427","0.899805331789566","0.202914683059545","rich"
"2142","0.98104999852185","0.427829447287943","0.869986661193698","0.693483295585761","0.533293638638848","0.822670970678505","0.810099071549523","0.610446518557934","0.714458858755096","0.772884642600852","rich"
"3456","0.543510752798791","0.999148358234933","0.74469719561609","0.885534144176893","0.718472246094382","0.733825965661238","0.90433858480542","0.583234960541492","0.919514227151965","0.681514460378884","rich"
"2500","0.749215048624802","0.598468358025822","0.456540866054805","0.944530304877983","0.610065938014285","0.900223701105111","0.927212305337115","0.287158762219554","0.822414009261373","0.306216644129001","rich"
"1701","0.494761457951138","0.722925906323762","0.407445573293154","0.876962590360117","0.527307160885577","0.920418422856942","0.87065568722172","0.341011747991844","0.938272256942125","0.217028242988008","poor"
"269","0.667051188861752","0.619119639018935","0.318071770459292","0.954994254994602","0.615211027087055","0.960772739058285","0.910182976329983","0.348611973017497","0.970956910423939","0.08023980527","poor"
"3755","0.654640344026367","0.675174878448861","0.386621967217875","0.9397892865479","0.655779267865812","0.843430817487554","0.892170985813265","0.220584588148934","0.845691118660563","0.271834693453342","rich"
"1346","0.667976403559376","0.619403409331331","0.357068611254262","0.938807051666791","0.603855013770073","0.957325332399616","0.903189714137168","0.291337339226697","0.87164637933613","0.168681780032672","poor"
"124","0.63198988677889","0.626416915133065","0.26070283695004","0.931102487624323","0.646352313727478","0.955149342457283","0.865284154067563","0.323262412908472","0.945304639166027","0.0800081422495978","poor"
"1215","0.690932762220902","0.535137087184349","0.306698785993273","0.872781742260452","0.647628538912739","0.870581109711612","0.808117492475181","0.338946733586025","0.975646476068301","0.230528660297305","poor"
"3214","0.840869509854155","0.549692966714804","0.425175984782659","0.971011710448658","0.72048159685762","0.830874578889322","0.910430996741282","0.320024244785458","0.884400779020613","0.351189407317683","rich"
"3230","0.560638505203521","1.08948192528593","0.870315593081222","0.84215988659853","0.786753447755768","0.902498236351495","0.873304820023519","0.713767356848586","0.731248000225715","0.838380508279599","rich"
"1504","0.80853087722801","0.65269417409833","0.720259548314913","0.946764406398968","0.399066792996819","0.899953120585382","1.0593261453947","0.519937920902325","0.963535969651022","0.477542323010325","poor"
"3575","0.757342187708261","0.795642306452956","0.82743663251459","0.89711760390532","0.493537733338357","0.959798463583512","1.01579990390258","0.642530159149596","0.879644551370224","0.646919655111369","rich"
"3791","0.699800484202017","0.605912378363534","0.197493520910736","0.956645002689069","0.744126662181312","0.934607401792739","0.84994356522541","0.357669753709215","0.976126922636138","0.165330220720582","rich"
